partner_id,partner_name,zone,vehicle_type,avg_rating,total_deliveries,status,experience_months,lat,lng
DP_00001,Raj Singh,Brigade Road,bike,3.7,2852,active,45,12.980221,77.595738
DP_00002,Ravi Gowda,Malleshwaram,ev_scooter,4.7,3592,active,33,13.016379,77.580492
DP_00003,Rahul Das,Marathahalli,ev_scooter,4.7,6175,active,48,12.934013,77.631405
DP_00004,Karthik Patil,Sarjapur Road,ev_scooter,4.0,3071,active,3,12.905457,77.537616
DP_00005,Pradeep Kumar,MG Road,bicycle,4.5,3454,inactive,1,13.045438,77.672401
DP_00006,Amit Singh,HSR Layout,bike,4.4,3928,active,36,13.008886,77.568141
DP_00007,Raj Kumar,Brigade Road,bicycle,3.9,4449,on_break,19,12.905841,77.521315
DP_00008,Ganesh Reddy,Banashankari,bicycle,4.7,1303,active,27,13.047197,77.695026
DP_00009,Suresh Patil,Malleshwaram,bicycle,4.6,3383,active,19,12.949163,77.64236
DP_00010,Naveen Verma,Electronic City,bike,4.0,829,on_break,22,12.947747,77.524745
DP_00011,Rahul Das,MG Road,bike,3.8,2315,active,36,13.013226,77.682595
DP_00012,Raj Verma,HSR Layout,bicycle,4.9,5439,active,26,13.012845,77.508147
DP_00013,Suresh Gowda,Hebbal,bicycle,4.6,1171,active,38,12.900601,77.67828
DP_00014,Arun Gowda,Indiranagar,ev_scooter,4.3,2215,active,36,13.034254,77.549515
DP_00015,Amit Reddy,JP Nagar,bike,4.4,187,active,47,13.006224,77.533874
DP_00016,Rahul Naik,Bommanahalli,bike,4.5,7218,active,47,13.016439,77.53751
DP_00017,Rahul Kumar,Basavanagudi,ev_scooter,3.8,5513,active,34,12.943906,77.527242
DP_00018,Manoj Das,MG Road,bicycle,3.9,5099,on_break,8,13.006036,77.551
DP_00019,Arun Kumar,Brigade Road,bike,4.1,1616,inactive,45,12.919229,77.536872
DP_00020,Suresh Sharma,MG Road,scooter,4.6,1941,on_break,48,12.906985,77.51444
DP_00021,Amit Sharma,Rajajinagar,bicycle,4.9,4756,active,14,13.007585,77.665994
DP_00022,Manoj Singh,Koramangala,bicycle,3.8,1232,active,42,13.01784,77.67376
DP_00023,Manoj Naik,JP Nagar,bicycle,4.2,1701,on_break,10,12.931017,77.570636
DP_00024,Arun Patil,BTM Layout,bicycle,4.2,2115,active,30,12.923791,77.656279
DP_00025,Mohan Patil,Indiranagar,bicycle,3.8,954,on_break,10,12.942517,77.535412
DP_00026,Arun Verma,Koramangala,bike,4.4,2899,active,15,12.967401,77.637686
DP_00027,Sanjay Patil,Yelahanka,ev_scooter,3.9,3985,active,9,12.902572,77.546884
DP_00028,Manoj Sharma,Sarjapur Road,scooter,3.7,5958,active,17,13.003486,77.554362
DP_00029,Raj Yadav,Bommanahalli,ev_scooter,3.5,4696,on_break,7,12.936184,77.556563
DP_00030,Raj Verma,BTM Layout,scooter,4.4,4378,active,2,12.949107,77.637928
DP_00031,Manoj Das,Basavanagudi,bicycle,3.5,1634,active,47,12.945951,77.652832
DP_00032,Mohan Yadav,Yelahanka,scooter,4.4,5537,on_break,39,12.984782,77.571378
DP_00033,Arun Das,Rajajinagar,scooter,4.8,2710,active,22,12.953532,77.651785
DP_00034,Pradeep Patil,Basavanagudi,scooter,4.1,4657,active,5,12.915479,77.679185
DP_00035,Manoj Kumar,BTM Layout,scooter,4.2,4432,on_break,5,12.915392,77.697955
DP_00036,Arun Reddy,Basavanagudi,scooter,4.6,1839,active,3,12.938468,77.683641
DP_00037,Suresh Yadav,Hebbal,ev_scooter,4.8,815,active,16,12.991766,77.518702
DP_00038,Raj Das,Yelahanka,scooter,3.6,5694,active,11,12.998595,77.639174
DP_00039,Naveen Patil,Koramangala,scooter,4.7,7320,active,6,12.975555,77.545866
DP_00040,Vikram Kumar,MG Road,ev_scooter,4.5,7706,active,29,12.983443,77.532859
DP_00041,Ganesh Das,Whitefield,bike,4.5,1627,active,11,12.935133,77.509041
DP_00042,Rahul Sharma,Marathahalli,scooter,3.7,3825,active,29,12.933844,77.526903
DP_00043,Mohan Sharma,Whitefield,bicycle,4.4,7260,inactive,44,12.964773,77.637583
DP_00044,Arun Naik,Marathahalli,bike,3.8,337,active,44,13.026436,77.584071
DP_00045,Raj Reddy,HSR Layout,scooter,3.6,3450,active,15,13.004953,77.533238
DP_00046,Mohan Verma,Bommanahalli,bicycle,4.8,1339,on_break,39,12.979927,77.613459
DP_00047,Manoj Reddy,Bellandur,ev_scooter,3.9,2181,active,47,13.019745,77.667125
DP_00048,Manoj Yadav,Jayanagar,ev_scooter,4.7,3858,on_break,38,12.917302,77.638904
DP_00049,Rahul Verma,Indiranagar,bike,4.3,3282,on_break,38,13.006867,77.663341
DP_00050,Karthik Reddy,Indiranagar,scooter,4.7,2020,on_break,33,13.028745,77.608734
DP_00051,Rahul Verma,HSR Layout,bike,4.0,4453,active,17,12.949811,77.527236
DP_00052,Ravi Naik,Marathahalli,ev_scooter,4.8,1731,active,15,13.004816,77.517877
DP_00053,Deepak Patil,Electronic City,bike,4.1,5242,active,48,13.014021,77.59218
DP_00054,Sanjay Gowda,Yelahanka,bike,3.5,144,inactive,43,13.003633,77.672577
DP_00055,Suresh Gowda,Koramangala,scooter,4.6,6668,active,6,12.912395,77.538084
DP_00056,Arun Verma,Whitefield,bicycle,3.6,5217,inactive,39,12.903876,77.529955
DP_00057,Pradeep Naik,Malleshwaram,bike,4.7,4178,active,19,12.939121,77.517008
DP_00058,Deepak Das,Electronic City,ev_scooter,3.9,4328,on_break,5,12.922587,77.664871
DP_00059,Karthik Das,Banashankari,bike,4.0,3891,active,28,12.970097,77.508829
DP_00060,Ravi Yadav,Indiranagar,scooter,4.1,5265,active,24,13.008585,77.555016
DP_00061,Manoj Naik,Electronic City,bike,3.9,1272,inactive,33,12.934177,77.564328
DP_00062,Pradeep Yadav,Indiranagar,scooter,4.7,3124,inactive,36,13.007143,77.625003
DP_00063,Manoj Sharma,Indiranagar,scooter,4.1,7062,active,30,12.992714,77.657305
DP_00064,Raj Das,Koramangala,scooter,3.7,547,active,4,13.039221,77.67305
DP_00065,Sanjay Verma,Yelahanka,bike,4.8,7547,active,1,12.939241,77.646657
DP_00066,Karthik Patil,Marathahalli,ev_scooter,4.8,2089,active,25,13.007727,77.537537
DP_00067,Manoj Yadav,HSR Layout,scooter,3.7,586,active,26,12.992861,77.55903
DP_00068,Karthik Das,Marathahalli,bicycle,4.1,1349,active,27,13.013472,77.526102
DP_00069,Manoj Sharma,Bommanahalli,bike,4.0,6425,active,30,13.031017,77.664407
DP_00070,Ganesh Naik,Banashankari,scooter,4.0,6196,active,19,13.029941,77.508464
DP_00071,Raj Sharma,Rajajinagar,bicycle,4.0,5646,active,13,13.043883,77.682287
DP_00072,Ganesh Singh,Koramangala,ev_scooter,4.1,3418,inactive,19,12.976947,77.691994
DP_00073,Karthik Kumar,Bommanahalli,scooter,4.6,3067,active,45,12.975145,77.535691
DP_00074,Pradeep Reddy,Yelahanka,ev_scooter,4.4,5761,active,45,12.950989,77.557939
DP_00075,Sanjay Yadav,Indiranagar,scooter,3.8,1820,active,23,12.929149,77.605243
DP_00076,Pradeep Singh,MG Road,ev_scooter,4.6,6658,active,7,12.913509,77.642261
DP_00077,Karthik Patil,Bellandur,bike,4.3,5018,on_break,16,12.988998,77.626175
DP_00078,Arun Sharma,Jayanagar,scooter,4.1,2696,on_break,3,13.032357,77.670963
DP_00079,Suresh Das,HSR Layout,ev_scooter,4.6,2732,on_break,7,12.969257,77.600137
DP_00080,Raj Verma,Hebbal,bike,3.5,1564,active,2,13.049589,77.50588
DP_00081,Pradeep Naik,Whitefield,bike,4.3,6911,active,1,12.936658,77.575458
DP_00082,Ganesh Patil,Sarjapur Road,bicycle,4.6,6792,on_break,8,13.044055,77.681587
DP_00083,Naveen Das,Koramangala,scooter,4.1,5045,inactive,9,13.032883,77.51525
DP_00084,Suresh Singh,Brigade Road,bicycle,3.7,2444,active,26,12.979483,77.56859
DP_00085,Deepak Reddy,Koramangala,ev_scooter,3.8,6726,inactive,14,12.990985,77.601171
DP_00086,Rahul Patil,HSR Layout,bicycle,4.0,3476,active,17,13.040067,77.639083
DP_00087,Amit Verma,Banashankari,ev_scooter,4.9,401,on_break,41,12.903188,77.658406
DP_00088,Arun Naik,BTM Layout,ev_scooter,4.2,6527,inactive,34,13.004053,77.523303
DP_00089,Manoj Kumar,Electronic City,bike,4.9,7216,on_break,34,13.032741,77.572264
DP_00090,Naveen Das,Rajajinagar,bike,4.7,6298,active,10,13.002736,77.514536
DP_00091,Suresh Reddy,Jayanagar,scooter,3.9,2839,active,28,12.976361,77.536681
DP_00092,Suresh Patil,MG Road,ev_scooter,4.1,4648,active,10,12.993177,77.696784
DP_00093,Vikram Kumar,Yelahanka,bike,3.9,7392,active,34,13.047772,77.656049
DP_00094,Vikram Sharma,JP Nagar,ev_scooter,4.8,7527,active,34,12.920474,77.509224
DP_00095,Ganesh Gowda,BTM Layout,bike,3.6,5514,active,45,13.004095,77.621136
DP_00096,Karthik Gowda,Indiranagar,bike,4.7,2390,active,2,13.007198,77.590622
DP_00097,Deepak Reddy,Yelahanka,ev_scooter,4.6,5834,active,41,12.963111,77.624897
DP_00098,Sanjay Yadav,Rajajinagar,ev_scooter,3.6,4327,active,35,13.01753,77.615856
DP_00099,Rahul Reddy,MG Road,bicycle,4.3,2461,active,33,13.033101,77.613896
DP_00100,Amit Sharma,Jayanagar,bike,3.8,6442,on_break,15,12.944165,77.528258
DP_00101,Manoj Das,Hebbal,bike,4.1,5781,active,36,12.970947,77.579599
DP_00102,Arun Naik,Whitefield,bike,4.5,1474,inactive,20,12.984249,77.698938
DP_00103,Karthik Das,BTM Layout,scooter,4.0,5477,active,24,12.997528,77.679704
DP_00104,Amit Verma,Bommanahalli,bike,4.8,2382,on_break,23,13.044003,77.677457
DP_00105,Amit Das,Whitefield,ev_scooter,4.0,4549,on_break,10,12.960935,77.652621
DP_00106,Ganesh Reddy,Basavanagudi,ev_scooter,4.5,815,inactive,25,12.985937,77.568943
DP_00107,Naveen Sharma,HSR Layout,bike,4.3,6675,active,44,13.024592,77.676457
DP_00108,Raj Verma,Jayanagar,bicycle,4.4,7617,inactive,17,13.026496,77.655444
DP_00109,Karthik Reddy,Rajajinagar,scooter,4.4,6383,active,33,12.940785,77.679799
DP_00110,Sanjay Reddy,Koramangala,ev_scooter,4.6,58,active,33,12.965137,77.578135
DP_00111,Suresh Kumar,Rajajinagar,bike,4.8,6302,active,13,12.911259,77.633663
DP_00112,Pradeep Kumar,Brigade Road,bike,4.9,3123,active,40,12.997243,77.516021
DP_00113,Suresh Gowda,Brigade Road,bike,4.2,6387,active,41,12.978271,77.674368
DP_00114,Ganesh Naik,Bellandur,scooter,3.6,3067,active,18,12.940518,77.679144
DP_00115,Arun Das,Bellandur,bicycle,4.1,526,inactive,29,13.032815,77.645204
DP_00116,Ganesh Reddy,Hebbal,scooter,4.0,4600,inactive,48,13.030867,77.644998
DP_00117,Naveen Naik,Sarjapur Road,bike,5.0,4681,active,39,12.910019,77.655548
DP_00118,Manoj Verma,Koramangala,bicycle,3.6,1649,active,30,12.934817,77.687448
DP_00119,Pradeep Reddy,JP Nagar,scooter,4.0,7922,active,30,12.981703,77.51583
DP_00120,Rahul Reddy,Koramangala,bike,3.6,1388,active,8,12.932831,77.58438
DP_00121,Ganesh Gowda,Bommanahalli,scooter,4.2,4523,active,23,12.956397,77.538077
DP_00122,Suresh Verma,Bellandur,bicycle,4.0,4904,active,11,13.029684,77.564605
DP_00123,Sanjay Naik,Electronic City,bicycle,4.3,6746,active,18,12.942714,77.51058
DP_00124,Rahul Yadav,Bellandur,bike,4.1,4426,active,10,13.035756,77.648183
DP_00125,Ganesh Verma,Sarjapur Road,scooter,4.9,665,active,11,12.995859,77.675636
DP_00126,Karthik Reddy,MG Road,bike,4.4,2188,active,27,12.925743,77.609225
DP_00127,Raj Das,Sarjapur Road,ev_scooter,3.9,3539,on_break,15,13.03121,77.607872
DP_00128,Sanjay Verma,Whitefield,scooter,4.3,2658,active,22,12.934336,77.650054
